participant_id,mode,timestamp,attention_score,action,low_streak
Anmol,adaptive,43.49,0.82,Continue,0
Anmol,adaptive,43.65,0.86,Continue,0
Anmol,adaptive,43.81,0.83,Continue,0
Anmol,adaptive,43.97,0.83,Continue,0
Anmol,adaptive,44.12,0.9,Continue,0
Anmol,adaptive,44.28,0.88,Continue,0
Anmol,adaptive,44.44,0.87,Continue,0
Anmol,adaptive,44.59,0.85,Continue,0
Anmol,adaptive,45.07,0.8,Continue,0
Anmol,adaptive,45.24,0.85,Continue,0
Anmol,adaptive,45.4,0.85,Continue,0
Anmol,adaptive,45.56,0.85,Continue,0
Anmol,adaptive,45.72,0.85,Continue,0
Anmol,adaptive,45.88,0.85,Continue,0
Anmol,adaptive,46.03,0.82,Continue,0
Anmol,adaptive,46.19,0.83,Continue,0
Anmol,adaptive,46.35,0.84,Continue,0
Anmol,adaptive,46.5,0.85,Continue,0
Anmol,adaptive,46.67,0.84,Continue,0
Anmol,adaptive,46.83,0.84,Continue,0
Anmol,adaptive,46.99,0.87,Continue,0
Anmol,adaptive,47.15,0.86,Continue,0
Anmol,adaptive,47.31,0.84,Continue,0
Anmol,adaptive,47.47,0.85,Continue,0
Anmol,adaptive,47.63,0.85,Continue,0
Anmol,adaptive,47.79,0.87,Continue,0
Anmol,adaptive,47.93,0.87,Continue,0
Anmol,adaptive,48.1,0.83,Continue,0
Anmol,adaptive,48.25,0.81,Continue,0
Anmol,adaptive,48.41,0.82,Continue,0
Anmol,adaptive,48.56,0.85,Continue,0
Anmol,adaptive,48.71,0.83,Continue,0
Anmol,adaptive,48.87,0.88,Continue,0
Anmol,adaptive,49.04,0.84,Continue,0
Anmol,adaptive,49.18,0.89,Continue,0
Anmol,adaptive,49.33,0.83,Continue,0
Anmol,adaptive,49.49,0.88,Continue,0
Anmol,adaptive,49.65,0.87,Continue,0
Anmol,adaptive,49.81,0.86,Continue,0
Anmol,adaptive,49.97,0.86,Continue,0
Anmol,adaptive,50.13,0.85,Continue,0
Anmol,adaptive,50.29,0.87,Continue,0
Anmol,adaptive,50.46,0.84,Continue,0
Anmol,adaptive,50.62,0.82,Continue,0
Anmol,adaptive,50.78,0.86,Continue,0
Anmol,adaptive,50.94,0.85,Continue,0
Anmol,adaptive,51.1,0.84,Continue,0
Anmol,adaptive,51.26,0.87,Continue,0
Anmol,adaptive,51.41,0.83,Continue,0
Anmol,adaptive,51.57,0.86,Continue,0
Anmol,adaptive,51.73,0.86,Continue,0
Anmol,adaptive,51.88,0.85,Continue,0
Anmol,adaptive,52.04,0.94,Continue,0
Anmol,adaptive,52.21,0.86,Continue,0
Anmol,adaptive,52.36,0.86,Continue,0
Anmol,adaptive,52.52,0.9,Continue,0
Anmol,adaptive,52.67,0.9,Continue,0
